TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
VÄX;36;Elias Rosén;0;0;0;4
VÄX;62;Manuel Ågren;0;0;0;20
VÄX;11;Brogan Rafferty;0;0;0;2
VÄX;41;Ludvig Nilsson;0;0;0;8
VÄX;40;Dennis Rasmussen;0;0;0;10
VÄX;16;Ville Svensson;0;0;0;4
VÄX;17;Erik Andersson;0;0;0;2
Frölunda HC;1;Lars Johansson;33;0;0;0
Frölunda HC;30;Tobias Normann;33;0;1;0
Frölunda HC;46;Dominik Egli;27;3;14;0
Frölunda HC;7;Henrik Tömmernes;33;3;16;0
Frölunda HC;12;Max Friberg;33;4;9;0
Frölunda HC;40;Jacob Peterson;33;7;7;0
Frölunda HC;21;Jere Innala;31;11;13;0
Frölunda HC;43;Tom Nilsson;25;2;3;0
Frölunda HC;33;Linus Högberg;33;7;10;0
Frölunda HC;92;Filip Cederqvist;31;6;8;0
Frölunda HC;25;Arttu Ruotsalainen;31;11;12;0
Frölunda HC;86;Erik Thorell;17;4;11;0
Frölunda HC;2;Christian Folin;30;2;2;0
Frölunda HC;26;Isac Heens;32;1;6;0
Frölunda HC;41;Ivar Stenberg;25;7;17;0
Frölunda HC;27;Theodor Niederbach;33;10;14;0
Frölunda HC;11;Max Lindholm;33;13;11;0
Frölunda HC;10;Max Westergård;7;0;0;0
Frölunda HC;6;Filip Hasa;33;2;1;0
Frölunda HC;17;Isac Born;13;0;1;0
Frölunda HC;31;Nicklas Lasu;33;4;10;0
Frölunda HC;32;Noah Hasa;28;5;5;0
Frölunda HC;10;"Max              (RW) Westergård";6;0;0;0
Frölunda HC;44;Noah Dower Nilsson;31;0;0;0
Frölunda HC;17;"Isac              (RW) Born";8;0;0;0
Frölunda HC;38;Oskar Wahlberg;12;0;0;0
Frölunda HC;10;"Max              (LW) Westergård";2;0;0;0
Frölunda HC;17;"Isac              (LW) Born";2;0;0;0
Frölunda HC;32;"Noah              (RW) Hasa";4;0;0;0
Frölunda HC;9;Linus Weissbach;16;2;3;0
Frölunda HC;65;Axel Bröngel-Larsson;1;0;0;0
Frölunda HC;32;"Noah              (LW) Hasa";1;0;0;0
Frölunda HC;49;Måns Toresson;2;0;0;0
Frölunda HC;49;"Måns              (LW) Toresson";6;0;0;0
Frölunda HC;28;Eric Norin;3;0;0;0
Linköping HC;92;Zion Nybeck;34;3;5;0
Linköping HC;93;Oliver Johansson;32;2;2;0
Linköping HC;53;Adam Hofbauer;21;1;0;0
Linköping HC;8;Jonathan Myrenberg;30;2;1;0
Linköping HC;38;Johan Södergran;34;2;3;0
Linköping HC;71;Eskild Bakke Olsen;33;0;0;0
Linköping HC;39;Ty Rattie;28;5;1;0
Linköping HC;17;Felix Öhrqvist;12;0;1;0
Linköping HC;9;Erik Norén;27;0;0;0
Linköping HC;13;Jakub Vrana;28;7;7;0
Linköping HC;73;Nicholas Shore;32;7;10;0
Linköping HC;70;Fredrik Karlström;34;10;8;0
Linköping HC;40;David Bernhardt;32;2;9;0
Linköping HC;48;Mikko Kokkonen;26;0;3;0
Linköping HC;21;Christoffer Ehn;34;7;6;0
Linköping HC;61;Markus Ljungh;34;6;9;0
Linköping HC;23;Robin Kovacs;32;13;9;0
Linköping HC;81;Theodor Lennström;18;0;7;0
Linköping HC;26;Max Martin;34;0;12;0
Linköping HC;36;Waltteri Ignatjew;34;0;0;0
Linköping HC;31;Jesper Myrenberg;31;0;0;0
Linköping HC;4;"Oscar              (LW) Lawner";2;0;0;0
Linköping HC;30;Noel Massot;5;0;0;0
Linköping HC;6;Wilhelm Hasselhuhn;5;0;0;0
Linköping HC;30;Karl Roos;6;0;0;0
Linköping HC;4;"Oscar              (RW) Lawner";3;0;0;0
Linköping HC;20;Johan Johnsson;14;0;1;0
Linköping HC;4;Oscar Lawner;1;0;0;0
Linköping HC;53;"Adam              (RW) Hofbauer";8;0;0;0
Linköping HC;2;Rasmus Rissanen;30;1;5;0
Linköping HC;30;Axel Kylin;6;0;0;0
Linköping HC;18;Remi Elie;2;1;0;0
Linköping HC;53;"Adam              (LW) Hofbauer";5;0;0;0
Linköping HC;14;Loke Krantz;10;1;1;0
Linköping HC;11;"Oscar              (LW) Holmertz";2;0;0;0
Linköping HC;28;Melvin Nilsson;17;0;1;0
Linköping HC;14;"Loke              (RW) Krantz";2;0;0;0
Linköping HC;14;"Loke              (LW) Krantz";1;0;0;0
Linköping HC;93;"Oliver              (LW) Johansson";1;0;0;0
Linköping HC;39;"Ty              (RW) Rattie";1;0;0;0
Linköping HC;96;"William              (RW) Proos";1;0;0;0
Linköping HC;96;William Proos;3;0;0;0
Linköping HC;11;Oscar Holmertz;2;0;0;0
Linköping HC;11;"Oscar              (RW) Holmertz";3;0;0;0
Linköping HC;3;Edvin Hammarlund;4;0;0;0
LHC;9;Erik Norén;0;0;0;14
LHC;81;Theodor Lennström;0;0;0;62
LHC;8;Jonathan Myrenberg;0;0;0;10
LHC;17;Felix Öhrqvist;0;0;0;4
LHC;93;Oliver Johansson;0;0;0;12
LHC;23;Robin Kovacs;0;0;0;16
LHC;4;Oscar Lawner;0;0;0;2
LHC;26;Max Martin;0;0;0;16
LHC;21;Christoffer Ehn;0;0;0;4
LHC;40;David Bernhardt;0;0;0;10
LHC;2;Rasmus Rissanen;0;0;0;20
LHC;38;Johan Södergran;0;0;0;6
LHC;92;Zion Nybeck;0;0;0;4
LHC;73;Nicholas Shore;0;0;0;8
LHC;20;Johan Johnsson;0;0;0;6
LHC;70;Fredrik Karlström;0;0;0;6
LHC;31;Jesper Myrenberg;0;0;0;2
LHC;53;Adam Hofbauer;0;0;0;6
LHC;48;Mikko Kokkonen;0;0;0;4
LHC;61;Markus Ljungh;0;0;0;2
LHC;39;Ty Rattie;0;0;0;11
LHC;14;Loke Krantz;0;0;0;10
LHC;71;Eskild Bakke Olsen;0;0;0;2
LHC;13;Jakub Vrana;0;0;0;38
FRÖ;46;Dominik Egli;0;0;0;14
FRÖ;7;Henrik Tömmernes;0;0;0;12
FRÖ;11;Max Lindholm;0;0;0;16
FRÖ;2;Christian Folin;0;0;0;12
FRÖ;43;Tom Nilsson;0;0;0;6
FRÖ;92;Filip Cederqvist;0;0;0;12
FRÖ;44;Noah Dower Nilsson;0;0;0;6
FRÖ;27;Theodor Niederbach;0;0;0;10
FRÖ;21;Jere Innala;0;0;0;12
FRÖ;26;Isac Heens;0;0;0;10
FRÖ;25;Arttu Ruotsalainen;0;0;0;16
FRÖ;33;Linus Högberg;0;0;0;6
FRÖ;10;Max Westergård;0;0;0;2
FRÖ;6;Filip Hasa;0;0;0;12
FRÖ;31;Nicklas Lasu;0;0;0;14
FRÖ;12;Max Friberg;0;0;0;6
FRÖ;32;Noah Hasa;0;0;0;8
FRÖ;38;Oskar Wahlberg;0;0;0;2
FRÖ;40;Jacob Peterson;0;0;0;10
FRÖ;41;Ivar Stenberg;0;0;0;4
FRÖ;1;Lars Johansson;0;0;0;2
Djurgårdens IF;35;Magnus Hellberg;30;0;1;0
Djurgårdens IF;30;Hugo Hävelid;18;0;0;0
Djurgårdens IF;28;Gustav Lindström;32;3;7;0
Djurgårdens IF;82;Colby Sissons;33;4;14;0
Djurgårdens IF;7;Joseph Snively;34;11;17;0
Djurgårdens IF;40;Jacob Josefson;28;5;11;0
Djurgårdens IF;55;Charles Hudon;32;13;11;0
Djurgårdens IF;37;Jesper Pettersson;33;3;5;0
Djurgårdens IF;21;Joseph Laleggia;32;9;16;0
Djurgårdens IF;72;Jesse Ylönen;24;2;4;0
Djurgårdens IF;29;Håvard Salsten;32;4;5;0
Djurgårdens IF;20;Mathias Emilio Pettersen;30;0;0;0
Djurgårdens IF;3;August Berg;21;2;0;0
Djurgårdens IF;77;Valtteri Pulli;18;1;3;0
Djurgårdens IF;38;Victor Eklund;25;1;10;0
Djurgårdens IF;14;Anton Frondell;23;10;5;0
Djurgårdens IF;53;David Blomgren;32;4;3;0
Djurgårdens IF;52;Philip Holm;34;4;5;0
Djurgårdens IF;61;Viggo Björck;23;3;4;0
Djurgårdens IF;24;Ludvig Rensfeldt;31;0;1;0
Djurgårdens IF;46;Albin Grewe;24;2;3;0
Djurgårdens IF;34;"Daniel              (RW) Brodin";9;0;0;0
Djurgårdens IF;20;Mathias Pettersen;0;2;10;0
Djurgårdens IF;34;Daniel Brodin;11;1;0;0
Djurgårdens IF;46;"Albin              (RW) Grewe";2;0;0;0
Djurgårdens IF;32;Marcus Krüger;28;0;0;0
Djurgårdens IF;24;"Ludvig              (CE) Rensfeldt";2;0;0;0
Djurgårdens IF;41;Arvid Costmar;16;1;0;0
Djurgårdens IF;45;Hugo Blixt;18;1;0;0
Djurgårdens IF;42;"Theo              (RW) Stockselius";1;0;0;0
Djurgårdens IF;42;Theo Stockselius;1;0;0;0
Djurgårdens IF;39;Marcus Brännman;4;0;0;0
Djurgårdens IF;41;"Arvid              (RW) Costmar";4;0;0;0
Djurgårdens IF;10;Oliver Kylington;15;2;5;0
Djurgårdens IF;14;"Anton              (RW) Frondell";1;0;0;0
Djurgårdens IF;61;"Viggo              (RW) Björck";1;0;0;0
Djurgårdens IF;24;"Ludvig              (RW) Rensfeldt";1;0;0;0
Djurgårdens IF;74;Daniel Marmenlind;15;0;0;0
Djurgårdens IF;14;"Anton              (LW) Frondell";1;0;0;0
Djurgårdens IF;89;Oula Palve;10;2;6;0
Djurgårdens IF;29;"Håvard              (CE) Salsten";2;0;0;0
Djurgårdens IF;42;Marcus Nordmark;2;0;1;0
Djurgårdens IF;55;"Charles              (RW) Hudon";1;0;0;0
Djurgårdens IF;6;William Wiå;2;0;1;0
Djurgårdens IF;42;"Marcus              (RW) Nordmark";2;0;0;0
Djurgårdens IF;39;Hugo Severgårdh;1;0;0;0
Djurgårdens IF;34;"Daniel              (LW) Brodin";1;0;0;0
Skellefteå AIK;27;Oskar Vuollet;34;1;1;0
Skellefteå AIK;12;Valter Lindberg;32;2;6;0
Skellefteå AIK;9;Victor Stjernborg;22;2;5;0
Skellefteå AIK;43;Max Krogdahl;22;0;5;0
Skellefteå AIK;15;Lars Bryggman;29;5;6;0
Skellefteå AIK;17;Pär Lindholm;34;3;12;0
Skellefteå AIK;71;Jonathan Davidsson;23;3;5;0
Skellefteå AIK;25;Pontus Johansson;34;6;12;0
Skellefteå AIK;57;Emil Djuse;29;0;9;0
Skellefteå AIK;29;Mikkel Aagaard;34;14;18;0
Skellefteå AIK;24;Oscar Lindberg;34;23;23;0
Skellefteå AIK;96;Rickard Hugg;34;11;26;0
Skellefteå AIK;52;Arvid Lundberg;34;5;8;0
Skellefteå AIK;7;Frans Haara;20;3;1;0
Skellefteå AIK;8;Oliver Okuliar;34;13;9;0
Skellefteå AIK;22;Jonathan Johnson;34;3;15;0
Skellefteå AIK;14;Andreas Johnson;34;7;8;0
Skellefteå AIK;3;Viktor Grahn;34;1;9;0
Skellefteå AIK;64;Jonathan Pudas;34;12;23;0
Skellefteå AIK;1;Anton Ringquist;13;0;0;0
Skellefteå AIK;31;Jani Lampinen;32;0;0;0
Skellefteå AIK;91;"Victor              (LW) Laz";11;0;0;0
Skellefteå AIK;38;Strauss Mann;33;0;0;0
Skellefteå AIK;4;Rasmus Bergqvist;30;0;1;0
Skellefteå AIK;33;"Zeb              (LW) Forsfjäll";6;0;0;0
Skellefteå AIK;33;Zeb Forsfjäll;26;2;1;0
Skellefteå AIK;71;"Jonathan              (LW) Davidsson";1;0;0;0
Skellefteå AIK;1;Caspar Lampe;1;0;0;0
Skellefteå AIK;91;Victor Laz;2;0;2;0
Skellefteå AIK;71;"Jonathan              (RW) Davidsson";1;0;0;0
Skellefteå AIK;18;"Viktor              (LW) Klingsell";10;0;0;0
Skellefteå AIK;18;Viktor Klingsell;2;1;0;0
Skellefteå AIK;20;Zeb Lindgren;1;0;0;0
Skellefteå AIK;11;"Theo              (LW) Landström";2;0;0;0
Skellefteå AIK;9;"Victor              (LW) Stjernborg";3;0;0;0
SKE;15;Lars Bryggman;0;0;0;10
SKE;25;Pontus Johansson;0;0;0;20
SKE;24;Oscar Lindberg;0;0;0;36
SKE;12;Valter Lindberg;0;0;0;6
SKE;71;Jonathan Davidsson;0;0;0;6
SKE;8;Oliver Okuliar;0;0;0;26
SKE;29;Mikkel Aagaard;0;0;0;6
SKE;14;Andreas Johnson;0;0;0;22
SKE;27;Oskar Vuollet;0;0;0;4
SKE;57;Emil Djuse;0;0;0;6
SKE;4;Rasmus Bergqvist;0;0;0;12
SKE;9;Victor Stjernborg;0;0;0;6
SKE;17;Pär Lindholm;0;0;0;12
SKE;7;Frans Haara;0;0;0;2
SKE;52;Arvid Lundberg;0;0;0;12
SKE;33;Zeb Forsfjäll;0;0;0;6
SKE;64;Jonathan Pudas;0;0;0;8
SKE;22;Jonathan Johnson;0;0;0;8
SKE;43;Max Krogdahl;0;0;0;49
SKE;3;Viktor Grahn;0;0;0;4
SKE;96;Rickard Hugg;0;0;0;8
DIF;77;Valtteri Pulli;0;0;0;4
DIF;38;Victor Eklund;0;0;0;10
DIF;82;Colby Sissons;0;0;0;20
DIF;61;Viggo Björck;0;0;0;6
DIF;52;Philip Holm;0;0;0;12
DIF;46;Albin Grewe;0;0;0;16
DIF;40;Jacob Josefson;0;0;0;10
DIF;7;Joseph Snively;0;0;0;14
DIF;37;Jesper Pettersson;0;0;0;20
DIF;24;Ludvig Rensfeldt;0;0;0;2
DIF;29;Håvard Salsten;0;0;0;6
DIF;53;David Blomgren;0;0;0;10
DIF;55;Charles Hudon;0;0;0;14
DIF;20;Mathias Pettersen;0;0;0;37
DIF;14;Anton Frondell;0;0;0;8
DIF;3;August Berg;0;0;0;6
DIF;32;Marcus Krüger;0;0;0;8
DIF;28;Gustav Lindström;0;0;0;10
DIF;21;Joseph Laleggia;0;0;0;8
DIF;45;Hugo Blixt;0;0;0;22
DIF;72;Jesse Ylönen;0;0;0;33
DIF;10;Oliver Kylington;0;0;0;4
DIF;89;Oula Palve;0;0;0;6
DIF;41;Arvid Costmar;0;0;0;12
DIF;42;Marcus Nordmark;0;0;0;2
Färjestad BK;33;Emil Larmi;33;0;1;0
Färjestad BK;35;Melker Thelin;34;0;0;0
Färjestad BK;3;Ronald Knot;33;2;2;0
Färjestad BK;48;Filip Roos;34;2;4;0
Färjestad BK;29;Oskar Steen;24;2;5;0
Färjestad BK;13;Joel Kellman;33;7;5;0
Färjestad BK;98;Marian Studenic;33;4;12;0
Färjestad BK;65;Noel Fransén;4;0;0;0
Färjestad BK;27;Gabriel Carlsson;30;2;4;0
Färjestad BK;39;Luke Philp;34;7;11;0
Färjestad BK;67;Radim Zohorna;29;4;7;0
Färjestad BK;71;Viktor Lodin;32;7;17;0
Färjestad BK;73;Adam Ollas Mattsson;34;0;0;0
Färjestad BK;7;Axel Bergkvist;34;5;10;0
Färjestad BK;92;Lucas Forsell;30;3;5;0
Färjestad BK;59;Linus Johansson;29;4;9;0
Färjestad BK;11;Joakim Nygård;34;7;7;0
Färjestad BK;6;Albert Wikman;29;2;1;0
Färjestad BK;15;Jack Berglund;20;3;2;0
Färjestad BK;12;Christoffer Jansson;32;4;5;0
Färjestad BK;22;Per Åslund;34;11;10;0
Färjestad BK;28;"Emil              (LW) Alba";2;0;0;0
Färjestad BK;28;Emil Alba;27;1;6;0
Färjestad BK;36;"Wille              (CE) Johansson";12;0;0;0
Färjestad BK;52;August Tornberg;6;1;1;0
Färjestad BK;32;Magnus Nygren;29;4;8;0
Färjestad BK;24;Joe Wahlund;2;0;0;0
Färjestad BK;92;"Lucas              (RW) Forsell";3;0;0;0
Färjestad BK;15;"Jack              (CE) Berglund";2;0;0;0
Färjestad BK;12;"Christoffer              (CE) Jansson";1;0;0;0
Färjestad BK;37;Samuel Eriksson;1;0;0;0
Färjestad BK;60;Måns Goos;1;0;0;0
Färjestad BK;23;Mikkel Eriksen;7;0;0;0
Färjestad BK;18;"Elias              (CE) Eriksson";1;0;0;0
Färjestad BK;18;"Elias              (LW) Eriksson";1;0;0;0
Färjestad BK;36;Wille Johansson;6;0;0;0
Färjestad BK;23;"Mikkel              (CE) Eriksen";3;0;0;0
Färjestad BK;96;David Tomasek;4;2;2;0
Rögle BK;37;Albin Sundsvik;34;4;5;0
Rögle BK;27;Linus Sjödin;12;2;2;0
Rögle BK;41;Simon Zether;25;1;3;0
Rögle BK;17;Isak Norlin;12;0;0;0
Rögle BK;52;Felix Nilsson;34;5;15;0
Rögle BK;22;Fredrik Olofsson;34;8;18;0
Rögle BK;8;Linus Sandin;31;5;7;0
Rögle BK;45;Gregor Biber;20;0;1;0
Rögle BK;24;Mattias Göransson;25;0;6;0
Rögle BK;67;Leon Bristedt;31;11;10;0
Rögle BK;23;Josh Dickinson;21;6;3;0
Rögle BK;83;Karson Kuhlman;34;6;6;0
Rögle BK;51;Calle Själin;31;2;16;0
Rögle BK;6;Paul Ladue;30;3;7;0
Rögle BK;72;Daniel Zaar;33;10;11;0
Rögle BK;28;Anton Bengtsson;28;3;6;0
Rögle BK;18;Dennis Everberg;30;5;5;0
Rögle BK;16;Lukas Ekeståhl-Jonsson;34;5;12;0
Rögle BK;95;Mark Friedman;31;2;10;0
Rögle BK;65;Christoffer Rifalk;34;0;0;0
Rögle BK;75;Arvid Holm;34;0;0;0
Rögle BK;20;"Marwin              (RW) Jarbsjö";6;0;0;0
Rögle BK;20;Marwin Jarbsjö;8;1;0;0
Rögle BK;62;Lubos Horky;31;10;5;0
Rögle BK;44;Calvin De Haan;28;0;0;0
Rögle BK;32;"Isac              (RW) Solberg";8;0;0;0
Rögle BK;32;Isac Solberg;19;3;1;0
Rögle BK;8;"Linus              (RW) Sandin";1;0;0;0
Rögle BK;41;"Simon              (RW) Zether";2;0;0;0
Rögle BK;58;Filip Johansson;25;4;6;0
Rögle BK;14;"Love              (RW) Gath";5;0;0;0
Rögle BK;40;"Nils              (RW) Bartholdsson";2;0;0;0
Rögle BK;14;Love Gath;2;0;0;0
Rögle BK;17;Nils Bartholdsson;1;0;0;0
Rögle BK;27;"Linus              (RW) Sjödin";4;0;0;0
Rögle BK;23;"Josh              (RW) Dickinson";1;0;0;0
FBK;27;Gabriel Carlsson;0;0;0;20
FBK;67;Radim Zohorna;0;0;0;14
FBK;22;Per Åslund;0;0;0;51
FBK;73;Adam Ollas Mattsson;0;0;0;18
FBK;65;Noel Fransén;0;0;0;4
FBK;71;Viktor Lodin;0;0;0;32
FBK;98;Marian Studenic;0;0;0;37
FBK;6;Albert Wikman;0;0;0;4
FBK;15;Jack Berglund;0;0;0;12
FBK;29;Oskar Steen;0;0;0;8
FBK;7;Axel Bergkvist;0;0;0;8
FBK;12;Christoffer Jansson;0;0;0;4
FBK;48;Filip Roos;0;0;0;2
FBK;52;August Tornberg;0;0;0;2
FBK;39;Luke Philp;0;0;0;12
FBK;32;Magnus Nygren;0;0;0;12
FBK;28;Emil Alba;0;0;0;29
FBK;3;Ronald Knot;0;0;0;6
FBK;92;Lucas Forsell;0;0;0;12
FBK;59;Linus Johansson;0;0;0;18
FBK;11;Joakim Nygård;0;0;0;4
FBK;13;Joel Kellman;0;0;0;10
FBK;33;Emil Larmi;0;0;0;6
FBK;36;Wille Johansson;0;0;0;2
FBK;96;David Tomasek;0;0;0;2
RBK;41;Simon Zether;0;0;0;8
RBK;45;Gregor Biber;0;0;0;10
RBK;23;Josh Dickinson;0;0;0;8
RBK;22;Fredrik Olofsson;0;0;0;8
RBK;83;Karson Kuhlman;0;0;0;4
RBK;95;Mark Friedman;0;0;0;53
RBK;27;Linus Sjödin;0;0;0;2
RBK;52;Felix Nilsson;0;0;0;10
RBK;16;Lukas Ekeståhl-Jonsson;0;0;0;14
RBK;67;Leon Bristedt;0;0;0;62
RBK;20;Marwin Jarbsjö;0;0;0;2
RBK;6;Paul Ladue;0;0;0;10
RBK;18;Dennis Everberg;0;0;0;14
RBK;8;Linus Sandin;0;0;0;11
RBK;44;Calvin De Haan;0;0;0;14
RBK;37;Albin Sundsvik;0;0;0;8
RBK;51;Calle Själin;0;0;0;30
RBK;24;Mattias Göransson;0;0;0;6
RBK;72;Daniel Zaar;0;0;0;12
RBK;28;Anton Bengtsson;0;0;0;14
RBK;32;Isac Solberg;0;0;0;4
RBK;58;Filip Johansson;0;0;0;4
HV 71;30;Lassi Lehtinen;34;0;0;0
HV 71;80;Frederik Dichow;15;0;0;0
HV 71;60;Lukas Höglind;12;0;0;0
HV 71;19;Niklas Hansson;34;1;10;0
HV 71;55;Andreas Borgman;23;2;6;0
HV 71;40;Oskar Stål-Lyrenäs;25;2;2;0
HV 71;16;Linus Lindström;28;2;2;0
HV 71;70;Lukas Rousek;34;2;17;0
HV 71;61;Axel Rindell;34;5;12;0
HV 71;38;Olle Alsing;32;0;7;0
HV 71;27;Jonathan Ang;34;14;16;0
HV 71;36;Martin Johnsen;22;1;4;0
HV 71;41;Riley Woods;34;14;13;0
HV 71;8;Lucas Lagerberg;33;4;3;0
HV 71;82;Santeri Hatakka;21;0;5;0
HV 71;96;Nikola Pasic;34;2;7;0
HV 71;91;Aleksi Heponiemi;26;6;11;0
HV 71;46;Joona Luoto;12;2;2;0
HV 71;44;Hugo Fransson;34;8;8;0
HV 71;71;William Ignberg Nilsson;12;0;0;0
HV 71;39;Jamiro Reber;18;3;0;0
HV 71;9;Hugo Pettersson;24;7;4;0
