TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
Nacka HK 1;16;Otto Fagerström;1;0;0;0
Nacka HK 1;1;Alex Leitgeb;1;0;0;0
Nacka HK 1;31;Benjamin Nilsson;1;0;0;0
Nacka HK 1;27;Alexander Lilja Santiestevez;1;0;0;0
Nacka HK 1;14;Adrian Notö;1;0;1;0
NAC1;17;William Svensson;0;0;0;2
NAC1;13;Malte Asplund;0;0;0;2
NAC1;7;Charles Wikström;0;0;0;27
NAC1;28;Lucas Ågfalck;0;0;0;2
NAC1;9;Tor Lidfors;0;0;0;2
Nacka HK 2;22;Alfred Lukins;1;1;1;0
Nacka HK 2;21;Lukas Marincic;1;1;1;0
Nacka HK 2;23;Nils Axelsson;2;2;1;0
Nacka HK 2;9;Alexander Bazutin;2;0;1;0
Nacka HK 2;11;Mohammad Mutaliev;2;0;0;0
Nacka HK 2;6;Felix Larsson;2;0;0;0
Nacka HK 2;2;Alexander Knaust;2;1;0;0
Nacka HK 2;15;Melvin Ramberg;2;0;1;0
Nacka HK 2;10;Abbe Mölleborn;2;1;0;0
Nacka HK 2;27;Gabriel Saavedra Persson;2;0;0;0
Nacka HK 2;18;Carl Rosén;2;0;0;0
Nacka HK 2;14;Gabriel Axelsson;2;1;0;0
Nacka HK 2;1;Valter Vikström;1;0;0;0
Nacka HK 2;30;Charlie Friman;1;0;0;0
Nacka HK 2;8;Leo Ryberg;1;0;0;0
Nacka HK 2;21;Felix Sjöberg;1;0;0;0
Nacka HK 2;13;Charlie Stier;1;0;0;0
Nacka HK 2;17;Oliver Frank Holm;1;0;0;0
Nacka HK 2;25;Oscar Pettersson;1;0;0;0
NAC2;9;Alexander Bazutin;0;0;0;2
NAC2;6;Felix Larsson;0;0;0;2
NAC2;10;Abbe Mölleborn;0;0;0;4
NAC2;21;Lukas Marincic;0;0;0;2
NAC2;18;Carl Rosén;0;0;0;2
NAC2;17;Oliver Frank Holm;0;0;0;2
NAC2;14;Gabriel Axelsson;0;0;0;2
FOC;2;Emil Dolk Rinon;0;0;0;2
FOC;14;William Svanström;0;0;0;2
FOC;21;Gustav Lundin;0;0;0;6
FOC;24;Theo Karlsson;0;0;0;2
